STR_Nr;Region;ASC_Standort;STR_Bezeichnung;Verkehrsstelle;GEB_Bezeichnung;GEB_Nr;Gps Lon;Gps Lat;ENT_Nr;Strasse;Nr;STR_km;Ort;Plz;Bl;Blitzschutz;Ableiter;Gebäudeart;SLT_Haus;M2_Geb;M2_Ueberdacht;Argus;Nbr;FI_Schalter
3043110;SAE-Nord;ASC Linz Hbf;BA.KRIFT;Betriebsausweiche;"SCHALTHAUS SIDI RST ""C"", WHZ";10007749;;;11107;KRIFT;NB;35,992;KREMSMÜNSTER;4550;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;20;;Ja;Nein;
3043110;SAE-Nord;ASC Linz Hbf;BA.KRIFT;Betriebsausweiche;"SCHALTHAUS SIDI RS ""D""";10007747;;;11105;KRIFT;NB;36,832;KREMSMÜNSTER;4550;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;16;;Ja;Nein;
3043110;SAE-Nord;ASC Linz Hbf;BA.KRIFT;Betriebsausweiche;SCHALTHAUS ZUFU 37,235;10007746;;;11104;KRIFT;NB;37,235;KREMSMÜNSTER;4550;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;16;;Ja;Nein;
3045260;SAE-Nord;ASC Linz Hbf;AB*KIRCHDORFER ZEMENT*-KLAUS;Strecke;SCHALTHAUS TUNNEL A9, EK KM 56,458;10007741;;;11099;A9 TUNNEL;NV;56,458;MICHELDORF;4563;O;KEIN BLITZSCHUTZ;0;Schaltstation Tunnel;Nein;20;;Ja;Nein;
3045260;SAE-Nord;ASC Linz Hbf;AB*KIRCHDORFER ZEMENT*-KLAUS;Strecke;HST. SCHÖN ZUGFUNK;10007740;;;11098;NB;NB;58,671;MICHELDORF;4563;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;16;;Ja;Nein;
3045260;SAE-Nord;ASC Linz Hbf;AB*KIRCHDORFER ZEMENT*-KLAUS;Strecke;BF. KLAUS ZUGFUNK 1;10007739;;;11097;NB;NB;59,435;KLAUS AN DER PYHRNBAHN;4564;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;16;;Ja;Nein;
3211210;SAE-Nord;ASC Linz Hbf;BF.PREGARTEN;Bahnhof;BF. PREGARTEN WHZ 2;10007583;;;10964;ZAINZE;NB;26,04;PREGARTEN;4230;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211210;SAE-Nord;ASC Linz Hbf;BF.PREGARTEN;Bahnhof;BF. PREGARTEN WHZ 1;10007581;;;10962;NB;NB;25,42;PREGARTEN;4230;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211220;SAE-Nord;ASC Linz Hbf;PREGARTEN-KEFERMARKT;Strecke;BF. PREGARTEN ZUGFUNK 6;10007580;;;10961;PREGARTSDORF;NB;28,2;PREGARTEN;4230;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211220;SAE-Nord;ASC Linz Hbf;PREGARTEN-KEFERMARKT;Strecke;BF. KEFERMARKT ZUGFUNK 7;10007579;;;10960;WITTINGHOF;NB;34,6;KEFERMARKT;4292;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211240;SAE-Nord;ASC Linz Hbf;KEFERMARKT-FREISTADT;Strecke;BF. KEFERMARKT EK4 KM 37,826;10007577;;;10958;NB;NB;37,826;KEFERMARKT;4292;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;4;;Ja;Nein;
3211230;SAE-Nord;ASC Linz Hbf;BF.KEFERMARKT;Bahnhof;BF. KEFERMARKT EK 2 KM 36,417;10007576;;;10957;NB;NB;36,43;KEFERMARKT;4292;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211230;SAE-Nord;ASC Linz Hbf;BF.KEFERMARKT;Bahnhof;BF. KEFERMARKT RST 1;10007575;;;10956;NB;NB;36,477;KEFERMARKT;4292;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211230;SAE-Nord;ASC Linz Hbf;BF.KEFERMARKT;Bahnhof;BF. KEFERMARKT EK 3 KM 37,133;10007573;;;10954;NB;NB;37,094;KEFERMARKT;4292;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211240;SAE-Nord;ASC Linz Hbf;KEFERMARKT-FREISTADT;Strecke;HST. LASBERG RELAISHAUS TELEKOM;10007572;;;10953;NB;NB;39,795;KEFERMARKT;4292;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;2;;Ja;Nein;
3211240;SAE-Nord;ASC Linz Hbf;KEFERMARKT-FREISTADT;Strecke;BF FREISTADT ZUGFUNK 8;10007571;;;10952;GALGENAU;NB;44,42;NEUMARKT / MÜHLKREIS;4212;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
4012020;SAE-Nord;ASC Linz Hbf;LINZ HBF.-JETZING;Strecke;HST. LEONDING;1074;14,25388197;48,27394264;12684;NB;NB;192,025;LEONDING;4060;O;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;95,81;;Ja;Nein;
3211250;SAE-Nord;ASC Linz Hbf;BF.FREISTADT;Bahnhof;BF FREISTADT RS 2;10007567;;;10950;TRÖLSBERG;NB;47,103;FREISTADT;4240;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211250;SAE-Nord;ASC Linz Hbf;BF.FREISTADT;Bahnhof;BF FREISTADT RS 1;10007566;;;10949;TRÖLSBERG;NB;46,15;FREISTADT;4240;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211260;SAE-Nord;ASC Linz Hbf;FREISTADT-SUMMERAU;Strecke;SUMMERAU ZUGFUNK 9;10007565;;;10948;NB;NB;54,5;RAINBACH IM MÜHLKREIS;4261;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
3211270;SAE-Nord;ASC Linz Hbf;BF.SUMMERAU;Bahnhof;BF SUMMERAU EK 56,663;10007564;;;10947;NB;NB;56,663;RAINBACH IM MÜHLKREIS;4261;O;KEIN BLITZSCHUTZ;0;Schaltstation;Ja;6;;Ja;Nein;
